name,company,client,location,coords,title,role,tags,year,description,category
Greenville Stormwater GIS,KLH Engineers,Greenville Sanitary Authority,"Greenville, PA",,Project Engineer,Task Lead,ArcGIS Desktop; GIS; Stormwater; Sanitary Sewer; GPS,2015,"Greenville Sanitary Authority wanted a complete catalog of their storm sewer infrastructure. To help deliver this, I generated mapbooks for their municipality that our survey crews used to GPS all catch basins, manholes and sewers. After the survey was complete, I assembled the data into a database that could be used by the Authority to track the status of their infrastructure, such as which catch basins needed to be cleaned. The deliverable was a set of detailed maps showing all relevant elevations and sizes of their storm infrastructure.",GIS
Oakland Avenue Commercial Development,KLH Engineers,"Indy Apple, LLC","Indiana, PA",,Project Consultant,Task Lead,AutoCAD; Civil3D; Hydraflow; HydroCAD; Stormwater,2015,"As part of land development for Indy-Apple, LLC , I worked with project managers and other team members to layout a site plan for two restaurants and a hotel along Oakland Avenue. I assisted in drafting a land development package, running stormwater calculations, submitting various permitting packages including NPDES and I coordinated with utility companies and other permitting entities.","Land Development, Grading, Erosion & Sedimentation Control, Permitting, Stormwater Design"
Order Entry System,KLH Engineers,"KLH Engineers, Inc.","Robinson Township, PA",,Project Engineer,Task Lead,Google Drive; Google Forms; Javascript,2015,"The existing Order Entry system to start new projects consisted of paper forms being filled out by hand and delivered to various personnel by hand or via email with multiple copies. To organize this process I utilized Google Forms and Javascript to build an online Order Entry system. New jobs could be opened, assigned project numbers and engineers from any device with an internet connect. Emails and PDF were automatically generated and a master tracking spreadsheet was appended so that all open project could be reviewed in monthly meetings.","Coding, Tool Development"
The Bible Chapel,Civil & Environmental Consultants,The Bible Chapel,"Robinson Township, PA",,Project Consultant,,AutoCAD; Civil3D,2015,"As part of The Bible Chapel 's new worship center project, I assisted in site layout and preliminary grading of the site. I also helped prepare the Land Development submission, coordinated with utility companies, drafted the Highway Occupancy Permits and Sewage Facilities Planning Module.","Land Development, Grading, Erosion & Sedimentation Control, Permitting"
The Empire,Civil & Environmental Consultants,Park7 Group,"North Oakland, PA",,Project Consultant,,ArcGIS Desktop; AutoCAD; HydroCAD; Stormwater,2015,"This project for the Park7 Group consisted of civil site work for a new 17-story apartment building. I worked with utility companies, the architect and general contractor to determine site utility connections and prepared a stormwater design to capture runoff. I also helped to prepare various permit submissions and communicated weekly with the design team.","Land Development, Permitting, Stormwater Design"
Aleppo Sewer Map,KLH Engineers,Aleppo Township Authority,"Aleppo Township, PA",,Project Engineer,Developer,ArcGIS Desktop; GIS,2014,I scanned old paper maps and georeferenced them to State Plane coordinates along with old CAD files. I then created a GIS map with all the legacy information for use by the Authority to manage their assets.,GIS
Allegheny Valley GIS and Flow Monitoring Plan,KLH Engineers,Allegheny Valley Joint Sewage Authority,"Harmar, PA",,Project Engineer,,ArcGIS Desktop; GIS; Flow Monitoring,2014,Allegheny Valley Joint Sewage Authority needed to quantify flows in its system as well as flows entering from neighboring communities. Using GIS I planned for surveys to be conducted of the system and then processed this survey data into a detail GIS for use in planning flow monitoring locations. Coordination with officials in neighboring communities was required to ensure all connections were accounted for.,GIS
Carnegie Flooding Hydraulic Investigation,KLH Engineers,Borough of Carnegie Flow Monitoring and H&H Model,"Carnegie, PA",,Project Engineer,,ArcGIS Desktop; InfoSWMM; Flow Monitoring; Hydraulics,2014,Carnegie suffered a significant flood after a >100 year storm that caused damage to streets and basements below Carnegie Park. Engineers worked to plan additional sewers system improvements to alleviate the flooding for 100 year storms. I coordinated flow monitoring at a key choke point and used the data to develop a H&H model of the watershed and conveyance system. This aided in sizing additional sewers and determining alternative alignments and elevations of parallel sewers.,Hydrologic & Hydraulic Modeling
Carnegie Overflow Regression Model,KLH Engineers,Borough of Carnegie,"Carnegie, PA",,Project Engineer,Task Lead,Excel,2014,"As part of a NPDES permit, Carnegie is required to complete a Discharge Monitoring Reports (DMR) to report overflows from an outfall in their system. Instead of installing a permanent flow meter, we installed a temporary flow meter and a rainmeter for several months of data collection. Using this data I built a multiple linear regression model to predict overflow volumes based on rainfall from public rain stations. The model was implemented into an Excel spreadsheet to allow rainfall data to be easily enters and predicted volumes calculated.",Coding
Clairton Billing Meters,KLH Engineers,Clairton Municipal Authority,"Clairton, PA",,Project Engineer,,ArcGIS Desktop; InfoSWMM; SSOAP; LTS; Hydraulics,2014,New billing meters needed to be constructed along two main interceptors that collect sewage from neighboring municipalities. I helped to draft new vaults to contain Palmer-Bowlus flumes and determined the hydraulic parameters that needed to be met. I also helped to collect survey information for an existing vault located in a remote area.,"Hydrologic & Hydraulic Modeling, Field Work"
Duquesne and Dravosburg Hydraulic Models,KLH Engineers,McKeesport Municipal Authority,"McKeesport, PA",,Project Engineer,,ArcGIS Desktop; InfoSWMM; SSOAP; GIS; Hydraulics,2014,"The City of McKeesport Municipal Authority acquired the treatment systems for Duquesne and Dravosburg. In order to complete a Long Term Control Plan for each system and an Act 537 report, KLH had to show that the system was capable of conveying all flows to treatment including 350% of peak dry flow. In addition, a H&H model was needed to evaluate future plans for the two systems. Without high quality data, I coordinated a survey of the existing conveyance systems including field work to verify specific details. Using this data I build a GIS and used it to build an H&H model for each system. I then evaluated each system to determine compliance with the requirements.",Hydrologic & Hydraulic Modeling
Elizabeth Watershed Drainage Maps,KLH Engineers,Elizabeth Township,"Elizabeth Township, PA",,Project Engineer,,ArcGIS Desktop; MapWindow,2014,"Although large watersheds that are more than a few acres are readily available. Small watersheds need delineated by hand. Using geoprocessing available in MapWindow, I authored dozens of exhibits showing small watersheds as calculated by software. These watersheds are produced in a few minutes and are almost always as accurate as hand delineated ones.",GIS
Erie Water Works Master Plan Exhibits,KLH Engineers,Erie Water Works,"Erie, PA",,Project Engineer,Task Lead,ArcGIS Desktop; InfoWater Pro; GIS; LTS; Calibration,2014,"Supported the development of a Erie Water Works Master Plan as part of the modeling team. The system was comprised of 11 booster stations, 14 tanks and reservoirs and 2 WTPs. Worked with Innovyze to develop a detailed InfoWater model. Assisted in calibration and utilized GIS tools to keep the model updated throughout the process. Created extensive exhibits based on modeling results and planning to determine areas of growth in and around the county that could be served by EWW.",GIS
